"","","distances"
-6,1,523.759657264528
-5.5,1,386.946869366545
-5,1,241.674613144015
-4.5,1,104.817538995179
-4,1,82.1606502026245
-6,1.5,457.490179672948
-5.5,1.5,336.372467967433
-5,1.5,174.265772911427
-4.5,1.5,53.8272879763046
-4,1.5,862.600833128611
-6,2,185.680919014401
-5.5,2,123.724144764533
-5,2,18.2099609080343
-4.5,2,645.536872523098
-4,2,4750.07179179221
-6,2.5,386.676864790146
-5.5,2.5,185.113900432373
-5,2.5,450.805276849654
-4.5,2.5,3929.83818102552
-4,2.5,18752.7056365424
-6,3,5881.88563616797
-5.5,3,4446.31505284282
-5,3,6716.58237899402
-4.5,3,20204.7878494428
-4,3,64057.0353678106
